Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon'.p-value	'COVID-19' vs 'normal' in 'colon'.log2foldchange	'COVID-19' vs 'normal' in 'lung'.p-value	'COVID-19' vs 'normal' in 'lung'.log2foldchange
ENSG00000005073	HOXA11	0.562573020080666	0.5	NA	0.6
ENSG00000005075	POLR2J	0.85134504255554	0.1	0.299326962058745	0.8
ENSG00000005100	DHX33	0.930029373273178	0.1	0.507073893276094	0.5
ENSG00000005102	MEOX1	0.396255394110548	0.8	0.440984304364755	0.8
ENSG00000005108	THSD7A	0.232152933807117	0.6	0.878932970936526	-0.1
ENSG00000005156	LIG3	0.828955446428253	-0.1	0.00237848433845097	-1.3
ENSG00000005175	RPAP3	9.84370991539254e-05	0.7	0.00296316921442607	1
ENSG00000005187	ACSM3	0.437965263148367	0.6	0.00130340871584344	-1.6
ENSG00000005189	REXO5	0.757571476589656	0.3	0.701124664808955	-0.4
ENSG00000005194	CIAPIN1	0.910898087818337	-0.1	0.832374830972424	0.2
ENSG00000005206	SPPL2B	0.444474138635103	-0.6	0.561780081901643	-0.5
ENSG00000005238	FAM214B	0.369666442446995	-0.7	0.64647815923015	-0.4
ENSG00000005243	COPZ2	0.489417874019939	-0.4	0.381155732381754	0.8
ENSG00000005249	PRKAR2B	0.460643672191143	0.4	0.487154423176427	0.4
ENSG00000005302	MSL3	0.407361007930588	-0.4	0.821130158708629	0.2
ENSG00000005339	CREBBP	0.307700385652639	-0.3	0.490142339054806	-0.3
ENSG00000005379	TSPOAP1	0.126973606554699	-1.2	0.0410046188204497	-1.5
ENSG00000005381	MPO	NA	-0.5	0.0198214348102239	2.6
ENSG00000005421	PON1	0.644876083660365	-0.4	0.115561452932381	-1.6
ENSG00000005436	GCFC2	1.67904920252871e-06	0.8	0.664308665726474	-0.1
ENSG00000005448	WDR54	0.25874849394229	-1	0.904695752979332	-0.2
ENSG00000005469	CROT	0.957392890497676	0	0.439469154347202	0.4
ENSG00000005471	ABCB4	0.0117079953133767	-2.1	0.0887079546310024	-1.4
ENSG00000005483	KMT2E	0.151697051145239	0.3	0.883704351578178	0
ENSG00000005486	RHBDD2	0.147637680578726	-0.6	0.844743948653109	-0.1
ENSG00000005513	SOX8	0.920731924073265	0.1	0.272094964060813	-1.7
ENSG00000005700	IBTK	0.520605221126512	-0.2	0.640606769103893	0.1
ENSG00000005801	ZNF195	0.481665222022776	-0.3	0.693016043471485	0.1
ENSG00000005810	MYCBP2	0.749228852561505	-0.1	0.932801399899292	0
ENSG00000005812	FBXL3	5.00501324075388e-05	0.9	0.803270087457322	0.1
ENSG00000005844	ITGAL	0.175386031524211	-1.2	0.86044486268752	0.2
ENSG00000005882	PDK2	0.475750259794718	-0.5	0.139839818812192	-1.1
ENSG00000005884	ITGA3	0.00903136379706467	-1.1	0.147496984127603	-0.9
ENSG00000005889	ZFX	0.651883165841225	0.2	0.850050323461354	-0.1
ENSG00000005893	LAMP2	0.000487761395738432	0.8	0.000922538012763594	0.6
ENSG00000005961	ITGA2B	0.703520541044978	0.5	0.662207879549717	-0.6
ENSG00000005981	ASB4	0.433025255474708	-0.9	0.837873115102217	-0.3
ENSG00000006007	GDE1	0.454092949545445	-0.3	0.771197872381329	-0.2
ENSG00000006015	REX1BD	1.25923852111424e-13	-2.5	0.691352209191492	-0.3
ENSG00000006016	CRLF1	0.451321741447542	0.7	0.00615816391750691	2.4
ENSG00000006025	OSBPL7	0.652680192862228	-0.4	0.103231740085302	-1.2
ENSG00000006042	TMEM98	0.0475269040631342	-1.1	0.756774211430937	-0.2
ENSG00000006047	YBX2	0.336383167126556	-0.7	0.0615136564639769	-1.9
ENSG00000006059	KRT33A	NA	0.1	NA	0
ENSG00000006062	MAP3K14	0.0915113659035763	-1.3	0.00203329579998185	-1.8
ENSG00000006071	ABCC8	0.157683101542203	-1.2	0.758598574128458	0.4
ENSG00000006116	CACNG3	NA	0.1	NA	0
ENSG00000006118	TMEM132A	0.00158167502370464	-2.7	0.753934899813655	0.3
ENSG00000006125	AP2B1	0.71198936201757	0.1	0.854334418984611	0.1
ENSG00000006128	TAC1	0.0121786312631795	1.9	0.857007916573422	0.4
ENSG00000006194	ZNF263	0.879245525824216	0.1	0.153847592753402	-0.8
ENSG00000006210	CX3CL1	0.502380597960038	-0.4	0.681424029665328	-0.2
ENSG00000006282	SPATA20	0.00886958547285439	-1.3	0.883241559171419	-0.1
ENSG00000006283	CACNA1G	0.0819343855320099	-2.3	0.859107365696761	0.3
