#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000089289,IGBP1,0,1,-0.0869875,2160.59,2027.42
ENSG00000089327,FXYD5,0.124488,1,0.218885,3994.09,4634.1
ENSG00000089335,ZNF302,0,1,0.0976191,2018.31,2152.66
ENSG00000089351,GRAMD1A,0.234507,1,0.338067,3174.15,4000.04
ENSG00000089356,FXYD3,-0.365828,1,-0.405601,28857.8,21718.4
ENSG00000089472,#N/A,0,1,0.420333,0,0
ENSG00000089486,CDIP1,0,1,0.0595858,330.029,342.469
ENSG00000089505,CMTM1,0.248258,1,0.719893,132.012,217.223
ENSG00000089558,KCNH4,-0.563688,1,-0.981765,324.162,162.428
ENSG00000089597,GANAB,0.0643287,1,0.10207,26094.3,27922
ENSG00000089639,GMIP,-0.021827,1,-0.205665,1227.71,1060.68
ENSG00000089682,RBM41,0,1,0.0604849,2217.8,2305.31
ENSG00000089685,BIRC5,0.304474,1,0.388875,4690.82,6123.35
ENSG00000089692,#N/A,0,1,-0.579667,30.8027,19.5697
ENSG00000089693,MLF2,-0.0687409,1,-0.125341,12643.8,11555.9
ENSG00000089723,OTUB2,0,1,-0.104003,340.297,315.072
ENSG00000089737,DDX24,0.052944,1,0.11633,9208.55,9951.18
ENSG00000089775,ZBTB25,0,1,0.0872746,809.672,857.152
ENSG00000089818,NECAP1,-0.0603647,1,-0.206418,1950.84,1684.95
ENSG00000089820,ARHGAP4,0,1,0.144699,99.7422,109.59
ENSG00000089847,#N/A,0,1,0.494334,26.4024,37.1824
ENSG00000089876,DHX32,0,1,0.00529566,3448.44,3450.13
ENSG00000089902,RCOR1,-0.221962,1,-0.327612,3932.48,3123.32
ENSG00000089916,GPATCH2L,0,1,0.061675,2390.88,2487.31
ENSG00000090006,LTBP4,0.447127,1,0.827333,196.551,348.34
ENSG00000090013,BLVRB,0,1,-0.042501,2489.16,2409.03
ENSG00000090020,SLC9A1,-0.0451884,1,-0.119166,7375.06,6769.15
ENSG00000090054,SPTLC1,-0.514092,1,-0.590094,8552.9,5663.46
ENSG00000090060,PAPOLA,0,1,-0.0423689,20970.8,20301.6
ENSG00000090061,CCNK,0,1,-0.118587,2214.86,2033.29
ENSG00000090097,PCBP4,0,1,-0.135103,388.701,352.254
ENSG00000090104,#N/A,0,1,0.420333,0,0
ENSG00000090238,YPEL3,-0.149339,1,-0.322987,1444.8,1150.7
ENSG00000090263,MRPS33,0,1,-0.006757,880.078,872.807
ENSG00000090266,NDUFB2,0,1,-0.12782,1956.71,1784.75
ENSG00000090273,NUDC,0,1,0.0318351,6292.56,6412.98
ENSG00000090316,MAEA,-0.0535295,1,-0.140589,5367.01,4853.28
ENSG00000090339,ICAM1,-0.121078,1,-0.299559,1353.85,1095.9
ENSG00000090372,STRN4,0.0500314,1,0.119559,7644.95,8279.93
ENSG00000090376,#N/A,0,1,2.42033,0,5.8709
ENSG00000090382,#N/A,0,1,1.26833,5.86719,15.6557
ENSG00000090432,MUL1,0,1,-0.116504,2830.92,2602.77
ENSG00000090447,TFAP4,0,1,0.204093,799.405,917.818
ENSG00000090470,PDCD7,0,1,0.0967073,2181.13,2324.88
ENSG00000090487,SPG21,-0.00468838,1,-0.0929429,5123.52,4788.7
ENSG00000090520,DNAJB11,0,1,-0.0267898,6867.55,6720.23
ENSG00000090530,P3H2,0,1,0.00190691,8126.06,8111.63
ENSG00000090534,#N/A,0,1,0.420333,0,0
ENSG00000090539,#N/A,0,1,-0.579667,16.1348,9.78484
ENSG00000090554,FLT3LG,0,1,-0.0210385,376.967,369.867
ENSG00000090565,RAB11FIP3,0.0515614,1,0.176504,2319.01,2612.55
ENSG00000090581,GNPTG,0.000230348,1,0.129862,2194.33,2393.37
ENSG00000090612,ZNF268,0,1,0.148562,1553.34,1716.26
ENSG00000090615,GOLGA3,0,1,0.0668823,5682.37,5933.52
ENSG00000090621,PABPC4,-0.00114484,1,-0.0589706,11793.1,11285.8
ENSG00000090659,#N/A,0,1,-1.16463,2.93359,0
ENSG00000090661,#N/A,0,1,-1.16463,2.93359,0
ENSG00000090674,MCOLN1,0,1,0.182909,588.186,665.369
ENSG00000090686,USP48,-0.121554,1,-0.207698,5633.97,4863.06
ENSG00000090776,EFNB1,-0.112269,1,-0.207573,4599.88,3970.69
ENSG00000090857,PDPR,0,1,-0.0363887,9166.02,8910.07
ENSG00000090861,AARS1,-0.0313222,1,-0.0844004,14144.3,13299.5
ENSG00000090863,GLG1,0.0831389,1,0.14673,9041.34,9978.58
ENSG00000090889,KIF4A,0,1,0.0883162,3366.3,3567.55
ENSG00000090905,TNRC6A,0,1,0.025011,5506.36,5585.18
ENSG00000090924,PLEKHG2,0,1,-0.0221308,1997.78,1960.88
ENSG00000090932,DLL3,0,1,0.683368,35.2031,56.752
ENSG00000090971,NAT14,0,1,-0.0838422,1157.3,1088.07
ENSG00000090975,PITPNM2,0.229168,1,0.500373,435.639,614.488
ENSG00000090989,EXOC1,0,1,-0.0393602,3030.4,2939.36
ENSG00000091009,RBM27,0,1,0.0399785,5283.4,5414.93
ENSG00000091010,#N/A,0,1,0.934906,8.80078,17.6127
ENSG00000091039,OSBPL8,0.306912,1,0.408454,3218.15,4258.36
ENSG00000091073,DTX2,0.0098112,1,0.151058,1833.5,2029.38
ENSG00000091106,#N/A,0,1,0.545864,14.668,21.5266
ENSG00000091127,PUS7,0,1,0.0289571,1683.88,1712.35
ENSG00000091128,#N/A,0,1,-1.57967,4.40039,0
ENSG00000091129,NRCAM,0,1,-0.525219,151.08,103.719
ENSG00000091136,LAMB1,0.140854,1,0.192144,13654.4,15552
ENSG00000091137,#N/A,0,1,-1.90159,5.86719,0
ENSG00000091140,DLD,-0.116289,1,-0.193192,7031.83,6131.18
ENSG00000091157,WDR7,0,1,-0.134127,1543.07,1401.19
ENSG00000091164,TXNL1,0,1,0.103093,3490.98,3737.81
ENSG00000091262,#N/A,0,1,0.671872,29.3359,46.9672
ENSG00000091317,CMTM6,-0.0249849,1,-0.0723698,17667.6,16751.6
ENSG00000091409,ITGA6,-0.0986496,1,-0.13222,36089.1,32828.1
ENSG00000091428,RAPGEF4,0,1,-0.257739,115.877,95.8914
ENSG00000091436,MAP3K20,0.142156,1,0.286372,1669.22,2029.38
ENSG00000091483,FH,0,1,-0.0388117,4610.14,4473.63
ENSG00000091490,SEL1L3,-0.028286,1,-0.142914,3093.48,2792.59
ENSG00000091513,#N/A,0,1,-0.579667,1.4668,0
ENSG00000091527,CDV3,0.0962473,1,0.158469,9400.7,10460
ENSG00000091536,#N/A,0,1,0.612978,19.0684,29.3545
ENSG00000091542,ALKBH5,0.00104638,1,0.0888881,4850.7,5142.91
ENSG00000091583,#N/A,0,1,0.420333,0,0
ENSG00000091592,NLRP1,0.0555671,1,0.284097,665.926,808.227
ENSG00000091622,PITPNM3,0.366246,1,1.08776,48.4043,103.719
ENSG00000091640,SPAG7,0,1,0.0930913,995.955,1058.72
ENSG00000091651,ORC6,0.0242905,1,0.201963,1136.77,1303.34
ENSG00000091656,#N/A,0,1,0.420333,0,0
ENSG00000091704,#N/A,0,1,0.420333,0,0
ENSG00000091732,ZC3HC1,0,1,0.0422709,940.217,964.785
ENSG00000091831,ESR1,0,1,-0.525219,74.8067,50.8811
ENSG00000091844,RGS17,0,1,-0.275661,117.344,95.8914
ENSG00000091879,#N/A,0,1,-2.90159,13.2012,0
ENSG00000091947,TMEM101,0,1,-0.0971758,1132.37,1054.81
ENSG00000091972,#N/A,0,1,-1.16463,2.93359,0
ENSG00000091986,CCDC80,1.19235,1,1.39968,566.184,1491.21
ENSG00000092009,#N/A,0,1,0.420333,0,0
ENSG00000092010,PSME1,0.0384363,1,0.0903065,13886.2,14737.9
ENSG00000092020,PPP2R3C,-0.00807587,1,-0.243328,758.334,637.971
ENSG00000092036,HAUS4,0.0153844,1,0.154174,1896.57,2103.74
ENSG00000092051,#N/A,0.268329,1,0.28283,14.668,17.6127
ENSG00000092067,#N/A,0,1,-1.16463,2.93359,0
ENSG00000092068,SLC7A8,-0.882536,1,-1.08823,1455.06,681.025
ENSG00000092094,OSGEP,0,1,-0.0402039,1195.44,1158.52
ENSG00000092096,SLC22A17,0,1,0.145894,371.1,409.006
ENSG00000092098,RNF31,0.325923,1,0.485847,1261.45,1761.27
ENSG00000092108,SCFD1,-0.157515,1,-0.266452,3603.92,2986.33
ENSG00000092140,G2E3,0.0513655,1,0.144912,4184.77,4612.57
ENSG00000092148,HECTD1,-0.0692755,1,-0.122964,14040.2,12853.4
ENSG00000092199,HNRNPC,-0.0682109,1,-0.103549,32185.9,29865.3
ENSG00000092200,RPGRIP1,0,1,-0.0140697,71.8731,70.4508
ENSG00000092201,SUPT16H,0,1,0.0443815,17837.7,18338.7
ENSG00000092203,TOX4,0,1,0.0415839,4451.73,4567.56
ENSG00000092208,GEMIN2,0,1,0.105877,987.155,1058.72
ENSG00000092295,TGM1,0,1,0.524169,96.8086,138.945
ENSG00000092330,TINF2,0,1,-0.114704,2497.96,2299.44
ENSG00000092345,DAZL,0,1,0.0833638,1695.62,1790.63
ENSG00000092421,SEMA6A,-0.458852,1,-0.884108,299.227,160.471
ENSG00000092439,TRPM7,-0.124927,1,-0.201895,7045.03,6105.74
ENSG00000092445,TYRO3,0.291702,1,0.422524,1928.84,2577.33
ENSG00000092470,WDR76,0.0367717,1,0.151498,2776.65,3074.4
ENSG00000092529,CAPN3,0,1,0.0164362,124.678,125.246
ENSG00000092531,SNAP23,-0.0765498,1,-0.175144,4240.51,3743.68
ENSG00000092607,#N/A,0,1,2.42033,0,5.8709
ENSG00000092621,PHGDH,0.167991,1,0.25963,4173.04,4980.48
ENSG00000092758,#N/A,0,1,-0.0390985,14.668,13.6988
ENSG00000092820,EZR,-0.0946262,1,-0.135945,23847.2,21636.2
ENSG00000092841,MYL6,0.0568173,1,0.0900646,33777.4,35843.8
ENSG00000092847,AGO1,0,1,0.00319414,4029.29,4025.48
ENSG00000092850,#N/A,0,1,-0.164629,7.33399,5.8709
ENSG00000092853,CLSPN,0.200318,1,0.283164,5060.45,6139.01
ENSG00000092871,RFFL,-0.100941,1,-0.255364,1779.23,1485.34
ENSG00000092929,UNC13D,0,1,-0.042042,11782.8,11409.1
ENSG00000092931,MFSD11,0,1,0.104831,1230.64,1319
ENSG00000092964,DPYSL2,0.0603138,1,0.190611,2120.99,2412.94
ENSG00000092969,TGFB2,2.33633,1,2.76826,95.3418,655.584
ENSG00000092978,GPATCH2,0.0519536,1,0.208524,1459.46,1681.03
ENSG00000093000,NUP50,0,1,-0.00354389,7442.53,7401.25
ENSG00000093009,CDC45,0.260638,1,0.383587,2214.86,2880.66
ENSG00000093010,COMT,-0.0821048,1,-0.173169,4969.51,4393.39
ENSG00000093072,#N/A,0,1,-1.16463,2.93359,0
ENSG00000093144,ECHDC1,0,1,0.0458951,3681.66,3788.69
ENSG00000093167,LRRFIP2,0.174905,1,0.268985,3945.68,4739.77
ENSG00000093183,SEC22C,0,1,0.104722,3006.93,3223.13
ENSG00000093217,XYLB,0,1,-0.0554757,437.106,418.791
ENSG00000094631,HDAC6,0,1,0.0666962,1820.3,1900.22
ENSG00000094661,#N/A,0,1,0.420333,0,0
ENSG00000094755,#N/A,0,1,-1.90159,5.86719,0
ENSG00000094796,#N/A,0,1,0.420333,0,0
ENSG00000094804,CDC6,0.026301,1,0.0989291,7064.1,7542.15
ENSG00000094841,UPRT,0,1,0.111923,699.662,753.432
ENSG00000094880,CDC23,0.0284072,1,0.109263,5677.97,6105.74
ENSG00000094914,AAAS,0,1,0.00180667,2427.55,2422.73
ENSG00000094916,CBX5,0.241966,1,0.359879,2429.02,3107.66
ENSG00000094963,#N/A,0,1,-1.16463,2.93359,0
ENSG00000094975,SUCO,-0.498203,1,-0.59559,5210.06,3436.43
ENSG00000095002,MSH2,0,1,0.0471501,6459.78,6653.69
ENSG00000095015,MAP3K1,0,1,0.0240954,2160.59,2189.85
ENSG00000095059,DHPS,0,1,-0.0727069,555.916,526.424
ENSG00000095066,HOOK2,0,1,0.0338214,953.418,972.613
ENSG00000095139,ARCN1,0,1,0.0313615,12120.1,12348.5
ENSG00000095203,EPB41L4B,0,1,-0.158498,859.543,767.131
ENSG00000095209,TMEM38B,0,1,-0.0301194,1349.45,1317.04
ENSG00000095261,PSMD5,-0.255542,1,-0.359863,4089.43,3176.16
ENSG00000095303,#N/A,0,1,-1.57967,4.40039,0
ENSG00000095319,NUP188,0,1,0.0811394,4129.03,4354.25
ENSG00000095321,#N/A,0,1,0.90576,5.86719,11.7418
ENSG00000095370,#N/A,0,1,0.420333,0,0
