#GeneSymbol,GeneName,GFOLD(0.01),E-FDR,log2fdc,1stRPKM,2ndRPKM
ENSG00000162545,CAMK2N1,-0.0752175,1,-0.233556,1761.74,1585.71
ENSG00000005007,UPF1,-0.0751061,1,-0.173376,4485.42,4208.59
ENSG00000178429,#N/A,-0.0750698,1,-0.197407,39.4419,36.877
ENSG00000278383,#N/A,-0.0750698,1,-0.197407,39.4419,36.877
ENSG00000132475,H3-3B,-0.0749311,1,-0.136091,11438.2,11012.4
ENSG00000108592,FTSJ3,-0.0747065,1,-0.180971,3845.59,3589.36
ENSG00000177855,#N/A,-0.0746115,1,-0.429837,52.5892,41.4867
ENSG00000185215,TNFAIP2,-0.0746115,1,-0.429837,52.5892,41.4867
ENSG00000214199,#N/A,-0.0746115,1,-0.429837,52.5892,41.4867
ENSG00000107249,GLIS3,-0.0743939,1,-0.18374,3635.23,3386.54
ENSG00000164053,ATRIP,-0.0743935,1,-0.338339,655.174,548.546
ENSG00000134330,IAH1,-0.0743679,1,-0.283095,1029.87,895.805
ENSG00000103426,#N/A,-0.0742656,1,-1.35233,46.0156,18.4385
ENSG00000104818,#N/A,-0.0742656,1,-1.35233,46.0156,18.4385
ENSG00000255153,#N/A,-0.0742656,1,-1.35233,46.0156,18.4385
ENSG00000119705,SLIRP,-0.0742477,1,-0.241433,1584.25,1418.23
ENSG00000244115,DNAJC25-GNG10,-0.0742241,1,-0.309819,815.133,696.054
ENSG00000196072,BLOC1S2,-0.0742039,1,-0.267202,1198.6,1054.07
ENSG00000065911,MTHFD2,-0.0741364,1,-0.113212,27810.9,27203
ENSG00000150457,LATS2,-0.0741283,1,-0.202667,2646.99,2433.88
ENSG00000023318,ERP44,-0.0740982,1,-0.173447,4389.01,4117.94
ENSG00000187838,PLSCR3,-0.0738533,1,-0.293988,929.076,802.076
ENSG00000133884,DPF2,-0.0738266,1,-0.170623,4619.09,4342.27
ENSG00000055917,PUM2,-0.0737178,1,-0.141029,9459.48,9076.36
ENSG00000105879,CBLL1,-0.0737118,1,-0.18533,3490.61,3248.25
ENSG00000120798,NR2C1,-0.0735885,1,-0.21227,2281.06,2083.55
ENSG00000126005,MMP24OS,-0.0735817,1,-0.285335,1001.39,869.683
ENSG00000132305,IMMT,-0.0735158,1,-0.131219,12829.6,12393.8
ENSG00000175711,B3GNTL1,-0.0734963,1,-0.228847,1827.48,1650.25
ENSG00000225921,NOL7,-0.0734946,1,-0.168451,4796.57,4515.9
ENSG00000125037,EMC3,-0.0734733,1,-0.207924,2423.49,2220.3
ENSG00000173214,MFSD4B,-0.0734494,1,-0.319161,751.587,637.665
ENSG00000176890,TYMS,-0.0734328,1,-0.140568,9507.69,9125.53
ENSG00000165660,ABRAXAS2,-0.0734177,1,-0.225438,1906.36,1725.54
ENSG00000104783,KCNN4,-0.0733534,1,-0.261424,1259.95,1112.46
ENSG00000102119,EMD,-0.0732776,1,-0.173044,4351.76,4084.13
ENSG00000236526,#N/A,-0.073275,1,-0.36201,48.2068,39.9501
ENSG00000243276,#N/A,-0.073275,1,-0.36201,48.2068,39.9501
ENSG00000143341,#N/A,-0.0732251,1,-0.285214,43.8243,38.4136
ENSG00000186575,NF2,-0.0730255,1,-0.183892,3536.62,3294.35
ENSG00000204859,ZBTB48,-0.0730063,1,-0.387332,468.92,379.526
ENSG00000281376,ABALON,-0.0729205,1,-0.538369,223.504,162.874
ENSG00000187735,TCEA1,-0.0729081,1,-0.117929,20983.1,20457.5
ENSG00000070018,LRP6,-0.0726038,1,-0.17298,4299.17,4034.96
ENSG00000196591,HDAC2,-0.0725907,1,-0.132926,11742.7,11330.5
ENSG00000128463,EMC4,-0.0725876,1,-0.205194,2489.22,2284.84
ENSG00000164118,CEP44,-0.0725247,1,-0.217985,2077.27,1889.95
ENSG00000141002,TCF25,-0.0723916,1,-0.186611,3335.03,3100.74
